# SN  M_B  e(M_B)  vsi  e(vsi)  pew(5972)  e(pew(5972))  pew(6355)  e(pew(6355))
SN2008hu  -19.043  0.110  12.355  0.285  15.860  4.675  126.993  9.450
ASAS15bm  -19.566  0.135  10.615  0.234  9.740  2.585  72.255  4.864
SN2005M  -19.614  0.113  9.186  0.426  7.416  3.716  47.462  4.470
SN2008fr  -19.351  0.119  10.073  0.422  19.343  3.565  93.275  6.319
SN2007ba  -18.661  0.096  10.778  0.247  49.068  2.791  94.939  2.995
PTF14w  -18.803  0.133  12.217  0.334  36.998  2.330  123.984  3.431
SN2008hv  -19.124  0.167  10.798  0.359  21.291  2.094  96.728  3.255
SN2005hc  -19.465  0.102  10.309  0.561  12.645  13.467  101.497  16.467
CSP15aae  -17.923  0.154  11.489  0.364  56.793  2.807  151.522  3.666
SN2013gy  -19.392  0.176  10.170  0.296  28.858  4.226  114.145  4.339
SN2009ab  -19.036  0.234  10.662  0.210  28.316  4.134  105.187  5.411
LSQ12gdj  -19.784  0.102  10.732  0.461  8.683  1.850  35.983  2.235
ASAS15al  -19.206  0.160  11.653  0.112  19.670  4.226  81.740  5.543
SN2005bg  -19.469  0.157  10.554  0.316  7.342  3.083  105.476  9.902
SN2007bm  -19.588  0.304  10.623  0.163  24.707  1.534  101.793  2.700
SN2014dn  -17.678  0.132  10.407  0.637  70.937  6.174  140.091  4.710
PTF13duj  -19.350  0.173  14.203  0.188  7.117  1.675  100.395  3.350
SN2012gm  -19.464  0.167  10.388  0.266  24.051  3.954  101.470  7.462
SN2009ag  -19.261  0.308  10.300  0.211  21.390  4.541  107.769  5.351
SN2004ey  -19.276  0.168  11.032  0.349  13.792  4.791  99.968  8.745
ASAS15fr  -19.213  0.090  11.668  0.234  20.664  3.692  107.417  6.088
ASAS15ga  -17.949  0.402  9.419  0.162  52.360  5.108  126.087  5.025
SN2008R  -18.481  0.178  10.695  0.243  49.440  1.289  126.735  1.852
SN2013fy  -19.672  0.124  10.783  0.283  14.379  1.417  93.378  3.111
SN2008gg  -19.474  0.145  12.714  0.376  10.012  3.312  149.839  6.654
SN2008fp  -19.920  0.388  11.039  0.130  12.366  3.872  73.929  4.710
PS1-14ra  -19.112  0.101  11.176  0.279  34.180  3.856  123.987  6.310
SN2007as  -19.238  0.158  12.607  0.384  18.015  2.717  138.251  4.695
SN2008C  -19.380  0.215  10.629  0.427  15.495  5.696  65.051  9.153
LSQ12fxd  -19.783  0.104  10.860  0.269  17.898  1.911  81.027  3.354
SN2009aa  -19.399  0.102  10.866  0.380  20.069  2.929  63.152  2.620
SN2008gl  -19.122  0.092  11.947  0.358  20.638  2.388  114.982  3.304
SN2006D  -19.257  0.236  11.235  0.194  26.406  0.869  100.381  1.054
SN2007S  -19.848  0.162  10.143  0.230  9.223  3.227  58.664  5.394
SN2008cf  -19.560  0.104  10.209  0.279  7.853  2.484  55.608  5.005
SN2012bl  -19.338  0.137  14.717  0.303  2.268  1.152  90.465  2.384
ASAS14mf  -19.454  0.153  9.876  0.329  23.780  2.005  103.822  3.760
LSQ15agh  -19.539  0.085  9.928  0.551  3.504  2.629  55.319  4.978
SN2009le  -19.178  0.156  12.504  0.224  8.169  1.543  79.157  2.631
SN2007ol  -18.872  0.056  11.086  0.350  16.212  4.111  77.205  8.166
SN2007le  -19.069  0.398  11.909  0.252  12.711  1.563  113.940  3.497
SN2012hr  -19.194  0.293  12.630  0.323  15.309  1.312  134.716  2.136
SN2009ds  -19.654  0.129  12.623  0.140  14.795  2.263  71.782  3.790
